,speaker_id,duration
0,103,
1,103,
2,103,
3,103,
4,103,
5,103,
6,103,
7,103,
8,103,
9,103,
10,103,
11,103,
12,103,
13,103,
14,103,
15,103,
16,103,
17,103,
18,103,
19,103,
20,103,
21,103,
22,103,
23,103,
24,103,
25,103,
26,103,
27,103,
28,103,
29,103,
30,103,
31,103,
32,103,
33,103,
34,103,
35,103,
36,103,
37,103,
38,103,
39,103,
40,103,
41,103,
42,103,
43,103,
44,103,
45,103,
46,103,
47,103,
48,103,
49,103,
50,103,
51,103,
52,103,
53,103,
54,103,
55,103,
56,103,
57,103,
58,103,
59,103,
60,103,
61,103,
62,103,
63,103,
64,103,
65,103,
66,103,
67,103,
68,103,
69,103,
70,103,
71,103,
72,103,
73,103,
74,103,
75,103,
76,103,
77,103,
78,103,
79,103,
80,103,
81,103,
82,103,
83,103,
84,103,
85,103,
86,103,
87,103,
88,103,
89,103,
90,103,
91,103,
92,103,
93,103,
94,103,
95,103,
96,103,
97,103,
98,103,
99,103,
100,103,
101,103,
102,1034,
103,1034,
104,1034,
105,1034,
106,1034,
107,1034,
108,1034,
109,1034,
110,1034,
111,1034,
112,1034,
113,1034,
114,1034,
115,1034,
116,1034,
117,1034,
118,1034,
119,1034,
120,1034,
121,1034,
122,1034,
123,1034,
124,1034,
125,1034,
126,1034,
127,1034,
128,1034,
129,1034,
130,1034,
131,1034,
132,1034,
133,1034,
134,1034,
135,1034,
136,1034,
137,1034,
138,1034,
139,1034,
140,1034,
141,1034,
142,1034,
143,1034,
144,1034,
145,1034,
146,1034,
147,1034,
148,1034,
149,1034,
150,1034,
151,1034,
152,1034,
153,1034,
154,1034,
155,1034,
156,1034,
157,1034,
158,1034,
159,1034,
160,1034,
161,1034,
162,1034,
163,1034,
164,1034,
165,1034,
166,1034,
167,1034,
168,1034,
169,1034,
170,1034,
171,1034,
172,1034,
173,1034,
174,1034,
175,1034,
176,1034,
177,1034,
178,1034,
179,1034,
180,1034,
181,1034,
182,1034,
183,1034,
184,1034,
185,1034,
186,1034,
187,1034,
188,1034,
189,1034,
190,1034,
191,1034,
192,1034,
193,1034,
194,1034,
195,1034,
196,1034,
197,1034,
198,1040,
199,1040,
200,1040,
201,1040,
202,1040,
203,1040,
204,1040,
205,1040,
206,1040,
207,1040,
208,1040,
209,1040,
210,1040,
211,1040,
212,1040,
213,1040,
214,1040,
